date,value
5/31/2019,8272.46
5/30/2019,8662.98
5/29/2019,8719.88
5/28/2019,8770.06
5/27/2019,8744.42
5/26/2019,8071.45
5/25/2019,8003.26
5/24/2019,7880.29
5/23/2019,7625.93
5/22/2019,7952.5
5/21/2019,8007.03
5/20/2019,8193.7
5/19/2019,7265.05
5/18/2019,7362.22
5/17/2019,7885.96
5/16/2019,8206.9
5/15/2019,7992.69
5/14/2019,7823.11
5/13/2019,6978.63
5/12/2019,7248.31
5/11/2019,6348.02
5/10/2019,6146.91
5/9/2019,5936.72
5/8/2019,5755.72
5/7/2019,5684.47
5/6/2019,5717.66
5/5/2019,5771.08
5/4/2019,5657.14
5/3/2019,5390.16
5/2/2019,5326.67
5/1/2019,5269.79
4/30/2019,5260.65
4/29/2019,5301.29
4/28/2019,5280.19
4/27/2019,5292.83
4/26/2019,5195.61
4/25/2019,5434.19
4/24/2019,5518.16
4/23/2019,5377.19
4/22/2019,5281.83
4/21/2019,5309.28
4/20/2019,5277.04
4/19/2019,5276.31
4/18/2019,5220.37
4/17/2019,5196.65
4/16/2019,5036.18
4/15/2019,5152.51
4/14/2019,5064.62
4/13/2019,5072.85
4/12/2019,5035.02
4/11/2019,5310.18
4/10/2019,5175.81
4/9/2019,5268.71
4/8/2019,5189.39
4/7/2019,5053.52
4/6/2019,5028.77
4/5/2019,4911.24
4/4/2019,4959.81
4/3/2019,4882.88
4/2/2019,4152.53
4/1/2019,4114.16
3/31/2019,4114.44
3/30/2019,4115.55
3/29/2019,4037.37
3/28/2019,4048.51
3/27/2019,3947.74
3/26/2019,3935.89
3/25/2019,3994.11
3/24/2019,4011.92
3/23/2019,3999.06
3/22/2019,3992.34
3/21/2019,4056.4
3/20/2019,4029.11
3/19/2019,3998.77
3/18/2019,3994.92
3/17/2019,4015.95
3/16/2019,3936.5
3/15/2019,3885.21
3/14/2019,3877.77
3/13/2019,3892.51
3/12/2019,3881.09
3/11/2019,3928.17
3/10/2019,3950.56
3/9/2019,3875.96
3/8/2019,3886.82
3/7/2019,3876.85
3/6/2019,3872.25
3/5/2019,3730.98
3/4/2019,3814.58
3/3/2019,3831.44
3/2/2019,3834.62
3/1/2019,3850.08
2/28/2019,3833.23
2/27/2019,3831.45
2/26/2019,3848.33
2/25/2019,3766.89
2/24/2019,4139.6
2/23/2019,3983.48
2/22/2019,3944.88
2/21/2019,3987.18
2/20/2019,3926.53
2/19/2019,3910.8
2/18/2019,3670.74
2/17/2019,3619.55
2/16/2019,3608.2
2/15/2019,3600.31
2/14/2019,3614.5
2/13/2019,3632.42
2/12/2019,3629.47
2/11/2019,3686.29
2/10/2019,3664.38
2/9/2019,3661.08
2/8/2019,3394.76
2/7/2019,3405.7
2/6/2019,3467.34
2/5/2019,3452.35
2/4/2019,3456.02
2/3/2019,3506.22
2/2/2019,3475.33
2/1/2019,3444.81
1/31/2019,3470
1/30/2019,3421.6
1/29/2019,3448.58
1/28/2019,3554.5
1/27/2019,3576.3
1/26/2019,3577.79
1/25/2019,3586.25
1/24/2019,3566.4
1/23/2019,3587.35
1/22/2019,3540.02
1/21/2019,3548.4275
1/20/2019,3703.98
1/19/2019,3690.523333
1/18/2019,3632.395
1/17/2019,3621.43
1/16/2019,3621.270833
1/15/2019,3656.785
1/14/2019,3531.96
1/13/2019,3599.841667
1/12/2019,3646.345833
1/11/2019,3646.25
1/10/2019,3812.585833
1/9/2019,4034.138333
1/8/2019,4032.25
1/7/2019,4036.093333
1/6/2019,3920.456667
1/5/2019,3856.62
1/4/2019,3822.626667
1/3/2019,3865.7975
1/2/2019,3855.88
1/1/2019,3752.271667
12/31/2018,3791.545833
12/30/2018,3770.36
12/29/2018,3912.285833
12/28/2018,3743.905
12/27/2018,3848.21
12/26/2018,3825.379167
12/25/2018,3813.88
12/24/2018,3995.17
12/23/2018,4027.478333
12/22/2018,3910.973333
12/21/2018,4135.19
12/20/2018,3982.850833
12/19/2018,3808.0425
12/18/2018,3556.54
12/17/2018,3392.405
12/16/2018,3271.238333
12/15/2018,3242.42
12/14/2018,3278.374167
12/13/2018,3406.7625
12/12/2018,3407.28
12/11/2018,3426.19
12/10/2018,3523.96
12/9/2018,3453.66
12/8/2018,3435.34
12/7/2018,3405.643333
12/6/2018,3744.98
12/5/2018,3858.349167
12/4/2018,3961.493333
12/3/2018,4140.6
12/2/2018,4167.546667
12/1/2018,4116.7775
11/30/2018,4278.77
